Timestamp,Blind Zone ID,Inferred From,Calibrated Pressure (bar),Physics Delta (bar),Calibrated Flow (LPS)
2026-03-21 20:08:47,Z03,Z01 & Z04,1.496,0.156,51.86
2026-03-21 20:08:47,Z05,Z06 & Z02,1.465,0.114,42.43
2026-03-21 20:08:47,Z07,Z08 & Z06,1.473,0.114,30.93
2026-03-21 20:08:47,Z03,Z01 & Z04,1.349,0.002,54.18
2026-03-21 20:08:47,Z05,Z06 & Z02,1.487,0.127,41.77
2026-03-21 20:08:47,Z07,Z08 & Z06,1.453,0.091,34.15
2026-03-21 20:08:49,Z03,Z01 & Z04,1.522,0.182,63.16
2026-03-21 20:08:49,Z05,Z06 & Z02,1.423,0.06,39.51
2026-03-21 20:08:49,Z07,Z08 & Z06,1.41,0.053,28.68
2026-03-21 20:08:49,Z03,Z01 & Z04,1.376,0.045,64.83
2026-03-21 20:08:49,Z05,Z06 & Z02,1.343,0.005,35.56
2026-03-21 20:08:49,Z07,Z08 & Z06,1.381,0.04,32.9
2026-03-21 20:08:51,Z03,Z01 & Z04,1.451,0.115,58.83
2026-03-21 20:08:51,Z05,Z06 & Z02,1.291,-0.045,40.1
2026-03-21 20:08:51,Z07,Z08 & Z06,1.344,-0.0,30.44
2026-03-21 20:08:51,Z03,Z01 & Z04,1.325,-0.018,53.23
2026-03-21 20:08:51,Z05,Z06 & Z02,1.342,0.003,38.34
2026-03-21 20:08:51,Z07,Z08 & Z06,1.412,0.043,26.53
2026-03-21 20:08:53,Z03,Z01 & Z04,1.427,0.063,57.74
2026-03-21 20:08:53,Z05,Z06 & Z02,1.459,0.114,45.38
2026-03-21 20:08:53,Z07,Z08 & Z06,1.448,0.117,31.81
2026-03-21 20:08:53,Z03,Z01 & Z04,1.415,0.073,61.01
2026-03-21 20:08:53,Z05,Z06 & Z02,1.337,-0.027,42.29
2026-03-21 20:08:53,Z07,Z08 & Z06,1.362,0.025,30.51
2026-03-21 20:08:55,Z03,Z01 & Z04,1.388,0.034,73.33
2026-03-21 20:08:55,Z05,Z06 & Z02,1.311,-0.023,35.63
2026-03-21 20:08:55,Z07,Z08 & Z06,1.414,0.061,29.29
2026-03-21 20:08:55,Z03,Z01 & Z04,1.377,0.042,64.74
2026-03-21 20:08:55,Z05,Z06 & Z02,1.407,0.07,36.17
2026-03-21 20:08:55,Z07,Z08 & Z06,1.438,0.085,29.39
2026-03-21 20:08:57,Z03,Z01 & Z04,1.496,0.14,59.25
2026-03-21 20:08:57,Z05,Z06 & Z02,1.459,0.121,39.3
2026-03-21 20:08:57,Z07,Z08 & Z06,1.476,0.13,31.45
2026-03-21 20:08:57,Z03,Z01 & Z04,1.28,-0.051,57.55
2026-03-21 20:08:57,Z05,Z06 & Z02,1.396,0.039,37.42
2026-03-21 20:08:57,Z07,Z08 & Z06,1.315,-0.042,27.09
2026-03-21 20:08:59,Z03,Z01 & Z04,1.346,-0.005,62.69
2026-03-21 20:08:59,Z05,Z06 & Z02,1.337,-0.012,40.57
2026-03-21 20:08:59,Z07,Z08 & Z06,1.319,-0.018,36.11
2026-03-21 20:08:59,Z03,Z01 & Z04,1.357,-0.012,51.19
2026-03-21 20:08:59,Z05,Z06 & Z02,1.364,0.028,45.95
2026-03-21 20:08:59,Z07,Z08 & Z06,1.417,0.067,31.29
2026-03-21 20:09:01,Z03,Z01 & Z04,1.348,-0.012,67.5
2026-03-21 20:09:01,Z05,Z06 & Z02,1.46,0.106,36.4
2026-03-21 20:09:01,Z07,Z08 & Z06,1.437,0.074,29.92
2026-03-21 20:09:01,Z03,Z01 & Z04,1.274,-0.087,69.68
2026-03-21 20:09:01,Z05,Z06 & Z02,1.385,0.051,33.88
2026-03-21 20:09:01,Z07,Z08 & Z06,1.405,0.07,30.46
2026-03-21 20:09:03,Z03,Z01 & Z04,1.417,0.074,61.67
2026-03-21 20:09:03,Z05,Z06 & Z02,1.487,0.154,37.89
2026-03-21 20:09:03,Z07,Z08 & Z06,1.389,0.058,30.66
2026-03-21 20:09:03,Z03,Z01 & Z04,1.366,0.012,55.84
2026-03-21 20:09:03,Z05,Z06 & Z02,1.395,0.064,38.71
2026-03-21 20:09:03,Z07,Z08 & Z06,1.435,0.095,29.78
2026-03-21 20:09:05,Z03,Z01 & Z04,1.315,-0.016,70.47
2026-03-21 20:09:05,Z05,Z06 & Z02,1.432,0.087,34.89
2026-03-21 20:09:05,Z07,Z08 & Z06,1.36,0.001,30.61
2026-03-21 20:09:05,Z03,Z01 & Z04,1.488,0.135,60.06
2026-03-21 20:09:05,Z05,Z06 & Z02,1.376,0.033,44.09
2026-03-21 20:09:05,Z07,Z08 & Z06,1.32,-0.024,32.9
2026-03-21 20:09:07,Z03,Z01 & Z04,1.425,0.088,61.7
2026-03-21 20:09:07,Z05,Z06 & Z02,1.409,0.069,41.0
2026-03-21 20:09:07,Z07,Z08 & Z06,1.345,-0.002,31.01
2026-03-21 20:09:07,Z03,Z01 & Z04,1.475,0.13,61.04
